,AAPL,NVDA,GOOGL
2024-11-25,,,
2024-11-26,0.009404412856080846,0.006616731288063171,0.00876827394130042
2024-11-27,-0.0005529641519469441,-0.01153967447278148,0.0006505791141901973
2024-11-29,0.010215792951195457,0.021501507990381086,-0.0016545971037940088
2024-12-02,0.009522507995701979,0.0027485839482299657,0.015034072519980457
2024-12-03,0.012771867115465074,0.011758020868576802,-0.0008747545896911069
2024-12-04,0.0014836351011882076,0.034792525555134235,0.017684117801330945
2024-12-05,0.00012343733038799876,-0.0004823765357414578,-0.009921477238348686
2024-12-06,-0.0008228980592773771,-0.01806149918007971,0.011990368289357622
2024-12-09,0.01610113369169741,-0.02548453511041293,0.004928100938960345
2024-12-10,0.004133691965561459,-0.026943168111955185,0.05588178322740789
2024-12-11,-0.005166057367437582,0.031391002506208965,0.05524656109781634
2024-12-12,0.005963782512502069,-0.014141037449093896,-0.017604894218724465
2024-12-13,0.0006855969985304355,-0.022498892624467803,-0.011148211917466622
2024-12-16,0.011727654278264943,-0.01675990292273155,0.03603417460118519
2024-12-17,0.00971957462909434,-0.012196857692458485,-0.0063053325017662365
2024-12-18,-0.021421793232994757,-0.011350545416578761,-0.035922652646088515
2024-12-19,0.007014762949272724,0.013730336903056806,0.0005839020338169743
2024-12-20,0.018815781246231955,0.030762248524884184,0.015383734589243359
2024-12-23,0.003064957795697376,0.03689681224631136,0.016822675221404237
2024-12-24,0.011477986769947268,0.0039379685270666265,0.007604164380768941
2024-12-26,0.0031757399493077543,-0.0020682545779533434,-0.0026006008664297697
2024-12-27,-0.013242139752255522,-0.020867528934809587,-0.014519550705452633
2024-12-30,-0.013263384809614531,0.0035033460575160102,-0.007885373715807442
2024-12-31,-0.007057838380193027,-0.023274362158217543,-0.010144266379408795
2025-01-02,-0.02623586583982318,0.029935174947178123,0.0006866601685588947
2025-01-03,-0.0020094911038737173,0.04453765099626916,0.012458399135875542
2025-01-06,0.006738916097301262,0.03433230606964521,0.026487304267201583
2025-01-07,-0.01138768025181136,-0.062169597905649465,-0.0070095632669772145
2025-01-08,0.00202290759648438,-0.0002140006756540247,-0.007877759758985192
2025-01-10,-0.0241037419982969,-0.029976311100058384,-0.009847899687767447
2025-01-13,-0.01034414584481358,-0.019719015898715497,-0.00536340834149418
2025-01-14,-0.004778167352123663,-0.01103367218590845,-0.007067684948882991
2025-01-15,0.019675869041915206,0.03400140991541667,0.031055518098997315
2025-01-16,-0.04040007064952389,-0.01959787741939023,-0.013500320457644932
